Date,Open,High,Low,Close,Adj Close,Volume
2008-10-23,2898.050049,2915.699951,2766.550049,2787.600098,2787.600098,3430000
2008-10-24,2729.149902,2729.149902,2406.449951,2456.500000,2456.500000,4835400
2008-10-27,2427.350098,2455.399902,2145.050049,2388.600098,2388.600098,4621000
2008-10-29,2613.250000,2616.899902,2491.000000,2545.800049,2545.800049,5153300
2008-10-31,2586.750000,2746.000000,2586.750000,2718.550049,2718.550049,4520100
2008-11-03,2820.399902,2881.850098,2793.100098,2866.149902,2866.149902,3862100
2008-11-04,2858.100098,2976.300049,2811.500000,2967.350098,2967.350098,4812400
2008-11-05,3007.250000,3057.649902,2816.100098,2836.899902,2836.899902,4918800
2008-11-06,2759.350098,2847.199951,2709.899902,2743.250000,2743.250000,4324600
2008-11-07,2727.199951,2846.649902,2726.600098,2816.449951,2816.449951,3921600
2008-11-10,2865.199951,2987.899902,2858.800049,2978.250000,2978.250000,3851600
2008-11-11,2948.550049,2948.949951,2770.649902,2786.899902,2786.899902,3449400
2008-11-12,2755.050049,2817.399902,2656.399902,2703.250000,2703.250000,4182100
2008-11-14,2765.699951,2788.350098,2639.399902,2664.750000,2664.750000,4165000
2008-11-17,2673.750000,2685.750000,2552.050049,2643.250000,2643.250000,3564100
2008-11-18,2598.399902,2615.850098,2522.300049,2537.149902,2537.149902,3237900
2008-11-19,2547.899902,2614.250000,2472.550049,2487.050049,2487.050049,3396400
2008-11-20,2408.899902,2433.600098,2361.649902,2407.550049,2407.550049,3111700
2008-11-21,2401.000000,2544.800049,2390.899902,2523.800049,2523.800049,4058100
2008-11-24,2517.550049,2565.500000,2469.100098,2533.500000,2533.500000,3327000
2008-11-25,2595.149902,2606.449951,2472.100098,2486.550049,2486.550049,3082500
2008-11-26,2497.250000,2579.149902,2472.250000,2570.899902,2570.899902,3540200
2008-11-27,null,null,null,null,null,null
2008-11-28,2524.750000,2593.149902,2524.750000,2574.750000,2574.750000,3853800
2008-12-01,2588.750000,2647.449951,2501.449951,2512.350098,2512.350098,3512700
2008-12-02,2446.300049,2503.500000,2410.250000,2492.350098,2492.350098,3359500
2008-12-03,2517.100098,2523.649902,2459.949951,2499.100098,2499.100098,3712700
2008-12-04,2509.149902,2628.550049,2491.899902,2622.699951,2622.699951,4625800
2008-12-05,2615.300049,2657.050049,2546.399902,2557.250000,2557.250000,4576500
2008-12-08,2623.350098,2686.199951,2597.500000,2616.600098,2616.600098,4107600
2008-12-10,2655.050049,2753.399902,2649.699951,2746.000000,2746.000000,4987500
2008-12-11,2750.800049,2767.149902,2690.350098,2746.600098,2746.600098,5621900
2008-12-12,2693.449951,2764.899902,2648.350098,2750.550049,2750.550049,796100
2008-12-15,2783.350098,2835.699951,2783.350098,2805.899902,2805.899902,5073300
2008-12-16,2794.399902,2872.750000,2791.149902,2864.199951,2864.199951,4437300
2008-12-17,2890.300049,2893.899902,2770.399902,2780.050049,2780.050049,5297400
2008-12-18,2774.750000,2890.800049,2751.500000,2881.300049,2881.300049,5923500
2008-12-19,2885.250000,2927.350098,2861.949951,2901.649902,2901.649902,5896800
2008-12-22,2901.350098,2935.500000,2856.699951,2868.199951,2868.199951,4834600
2008-12-23,2843.000000,2846.149902,2785.300049,2795.899902,2795.899902,4523600
2008-12-24,2782.800049,2785.050049,2737.800049,2753.600098,2753.600098,5012900
2008-12-26,2774.199951,2795.500000,2686.949951,2698.300049,2698.300049,3615500
2008-12-29,2696.600098,2770.600098,2657.800049,2762.050049,2762.050049,4606200
2008-12-30,2780.149902,2835.199951,2744.250000,2817.850098,2817.850098,4438900
2008-12-31,2831.449951,2842.800049,2782.100098,2801.050049,2801.050049,4277400
2009-01-02,2890.550049,2922.199951,2862.850098,2890.699951,2890.699951,5005300
2009-01-05,2912.250000,2973.199951,2912.250000,2965.149902,2965.149902,5035200
2009-01-06,2963.350098,2988.050049,2904.649902,2959.500000,2959.500000,5569500
2009-01-07,2978.300049,2992.550049,2740.100098,2768.300049,2768.300049,9161400
2009-01-09,2737.449951,2779.800049,2660.949951,2718.250000,2718.250000,7895100
2009-01-12,2697.050049,2697.050049,2606.899902,2629.850098,2629.850098,5119900
2009-01-13,2614.199951,2655.800049,2577.100098,2600.050049,2600.050049,3632900
2009-01-14,2626.699951,2702.300049,2626.699951,2686.250000,2686.250000,3262000
2009-01-15,2617.500000,2620.850098,2564.649902,2594.100098,2594.100098,3442500
2009-01-16,2611.949951,2679.449951,2611.949951,2673.649902,2673.649902,3228800
2009-01-19,2684.100098,2709.149902,2666.750000,2689.550049,2689.550049,4253500
2009-01-20,2658.149902,2658.149902,2611.100098,2645.600098,2645.600098,3117100
2009-01-21,2622.850098,2637.250000,2549.750000,2563.100098,2563.100098,3047100
2009-01-22,2592.250000,2593.949951,2535.550049,2565.550049,2565.550049,3305700
2009-01-23,2606.600098,2606.600098,2508.649902,2524.149902,2524.149902,3276900
2009-01-27,2552.350098,2611.649902,2552.350098,2605.300049,2605.300049,3191100
2009-01-28,2615.750000,2681.949951,2615.750000,2677.449951,2677.449951,4008000
2009-01-29,2689.850098,2697.550049,2630.199951,2656.000000,2656.000000,4643600
2009-01-30,2624.699951,2709.850098,2611.449951,2704.800049,2704.800049,4309900
2009-02-02,2685.800049,2685.800049,2601.350098,2606.100098,2606.100098,3429300
2009-02-03,2620.500000,2660.649902,2594.149902,2616.350098,2616.350098,3577300
2009-02-04,2630.350098,2669.500000,2621.649902,2632.800049,2632.800049,3113300
2009-02-05,2641.649902,2644.050049,2590.750000,2612.149902,2612.149902,2758400
2009-02-06,2629.600098,2678.949951,2629.600098,2671.199951,2671.199951,2788500
2009-02-09,2684.100098,2749.899902,2671.550049,2744.000000,2744.000000,1842300
2009-02-10,2745.899902,2780.000000,2719.750000,2757.850098,2757.850098,4251800
2009-02-11,2711.350098,2758.949951,2705.649902,2749.750000,2749.750000,3915300
2009-02-12,2751.100098,2751.149902,2715.000000,2719.850098,2719.850098,3331700
2009-02-13,2739.050049,2790.699951,2739.050049,2771.449951,2771.449951,2716700
2009-02-16,2763.750000,2763.750000,2669.149902,2677.949951,2677.949951,3502500
2009-02-17,2666.300049,2666.300049,2592.699951,2604.550049,2604.550049,2671300
