Date, Open, High, Low, Close
10/04/22, 3340.67, 3340.67, 3340.67, 3340.67
10/03/22, 3226.54, 3226.54, 3226.54, 3226.54
09/30/22, 3169.31, 3169.31, 3169.31, 3169.31
09/29/22, 3192.74, 3192.74, 3192.74, 3192.74
09/28/22, 3227.94, 3227.94, 3227.94, 3227.94
09/27/22, 3202.76, 3202.76, 3202.76, 3202.76
09/26/22, 3212.14, 3212.14, 3212.14, 3212.14
09/23/22, 3267.25, 3267.25, 3267.25, 3267.25
09/22/22, 3352.47, 3352.47, 3352.47, 3352.47
09/21/22, 3380.44, 3380.44, 3380.44, 3380.44
09/20/22, 3427.08, 3427.08, 3427.08, 3427.08
09/19/22, 3460.71, 3460.71, 3460.71, 3460.71
09/16/22, 3451.62, 3451.62, 3451.62, 3451.62
09/15/22, 3487.97, 3487.97, 3487.97, 3487.97
09/14/22, 3514.64, 3514.64, 3514.64, 3514.64
09/13/22, 3519.16, 3519.16, 3519.16, 3519.16
09/12/22, 3617.87, 3617.87, 3617.87, 3617.87
09/09/22, 3565.09, 3565.09, 3565.09, 3565.09
09/08/22, 3505.65, 3505.65, 3505.65, 3505.65
09/07/22, 3481.80, 3481.80, 3481.80, 3481.80
09/06/22, 3470.34, 3470.34, 3470.34, 3470.34
09/05/22, 3489.63, 3489.63, 3489.63, 3489.63
09/02/22, 3506.02, 3506.02, 3506.02, 3506.02
09/01/22, 3490.88, 3490.88, 3490.88, 3490.88
08/31/22, 3531.05, 3531.05, 3531.05, 3531.05
08/30/22, 3556.71, 3556.71, 3556.71, 3556.71
08/29/22, 3589.88, 3589.88, 3589.88, 3589.88
08/26/22, 3613.62, 3613.62, 3613.62, 3613.62
08/25/22, 3677.60, 3677.60, 3677.60, 3677.60
08/24/22, 3643.25, 3643.25, 3643.25, 3643.25
08/23/22, 3641.15, 3641.15, 3641.15, 3641.15
08/22/22, 3636.63, 3636.63, 3636.63, 3636.63
08/19/22, 3688.08, 3688.08, 3688.08, 3688.08
08/18/22, 3734.98, 3734.98, 3734.98, 3734.98
08/17/22, 3728.82, 3728.82, 3728.82, 3728.82
08/16/22, 3748.25, 3748.25, 3748.25, 3748.25
08/15/22, 3735.26, 3735.26, 3735.26, 3735.26
08/12/22, 3738.76, 3738.76, 3738.76, 3738.76
08/11/22, 3718.10, 3718.10, 3718.10, 3718.10
08/10/22, 3704.17, 3704.17, 3704.17, 3704.17
08/09/22, 3642.02, 3642.02, 3642.02, 3642.02
08/08/22, 3647.32, 3647.32, 3647.32, 3647.32
08/05/22, 3623.68, 3623.68, 3623.68, 3623.68
08/04/22, 3623.22, 3623.22, 3623.22, 3623.22
08/03/22, 3619.58, 3619.58, 3619.58, 3619.58
08/02/22, 3607.98, 3607.98, 3607.98, 3607.98
08/01/22, 3647.10, 3647.10, 3647.10, 3647.10
07/29/22, 3635.91, 3635.91, 3635.91, 3635.91
07/28/22, 3593.83, 3593.83, 3593.83, 3593.83
07/27/22, 3562.80, 3562.80, 3562.80, 3562.80
07/26/22, 3531.36, 3531.36, 3531.36, 3531.36
07/25/22, 3555.86, 3555.86, 3555.86, 3555.86
07/22/22, 3539.71, 3539.71, 3539.71, 3539.71
07/21/22, 3539.41, 3539.41, 3539.41, 3539.41
07/20/22, 3543.46, 3543.46, 3543.46, 3543.46
07/19/22, 3461.90, 3538.67, 3459.25, 3536.88
07/18/22, 3442.30, 3497.76, 3441.43, 3459.19
07/15/22, 3438.67, 3438.67, 3438.67, 3438.67
07/14/22, 3383.39, 3383.39, 3383.39, 3383.39
07/13/22, 3442.79, 3442.79, 3442.79, 3442.79
07/12/22, 3461.53, 3461.53, 3461.53, 3461.53
07/11/22, 3475.18, 3475.18, 3475.18, 3475.18
07/08/22, 3514.00, 3514.00, 3514.00, 3514.00
07/07/22, 3506.04, 3506.04, 3506.04, 3506.04
07/06/22, 3445.30, 3445.30, 3445.30, 3445.30
07/05/22, 3459.26, 3459.26, 3459.26, 3459.26
07/04/22, 3524.51, 3524.51, 3524.51, 3524.51
07/01/22, 3508.04, 3508.04, 3508.04, 3508.04
06/30/22, 3503.60, 3503.60, 3503.60, 3503.60
06/29/22, 3547.65, 3547.65, 3547.65, 3547.65
06/28/22, 3580.98, 3580.98, 3580.98, 3580.98
06/27/22, 3596.81, 3596.81, 3596.81, 3596.81
06/24/22, 3576.28, 3576.28, 3576.28, 3576.28
06/23/22, 3500.41, 3500.41, 3500.41, 3500.41
06/22/22, 3528.14, 3528.14, 3528.14, 3528.14
06/21/22, 3552.74, 3552.74, 3552.74, 3552.74
06/20/22, 3497.99, 3497.99, 3497.99, 3497.99
06/17/22, 3482.22, 3482.22, 3482.22, 3482.22
06/16/22, 3516.76, 3516.76, 3516.76, 3516.76
06/15/22, 3584.90, 3584.90, 3584.90, 3584.90
06/14/22, 3562.24, 3562.24, 3562.24, 3562.24
06/13/22, 3587.16, 3587.16, 3587.16, 3587.16
06/10/22, 3703.28, 3703.28, 3703.28, 3703.28
06/09/22, 3812.52, 3812.52, 3812.52, 3812.52
06/08/22, 3885.63, 3885.63, 3885.63, 3885.63
06/07/22, 3909.26, 3909.26, 3909.26, 3909.26
