Date, Open, High, Low, Close
09/15/22, 3072.43, 3086.92, 3062.90, 3065.75
09/14/22, 3122.50, 3122.50, 3057.27, 3074.98
09/13/22, 3154.71, 3173.08, 3133.12, 3138.69
09/12/22, 3142.55, 3154.80, 3137.32, 3153.28
09/09/22, 3086.53, 3140.40, 3085.27, 3128.89
09/08/22, 3059.24, 3091.41, 3059.24, 3083.13
09/07/22, 3093.10, 3093.10, 3031.77, 3043.27
09/06/22, 3132.65, 3148.60, 3100.27, 3104.43
09/05/22, 3127.64, 3138.39, 3116.14, 3128.99
09/02/22, 3148.87, 3149.36, 3126.20, 3141.18
09/01/22, 3196.10, 3197.20, 3143.70, 3146.26
08/31/22, 3213.38, 3240.34, 3200.15, 3225.89
08/30/22, 3224.55, 3242.34, 3206.41, 3226.35
08/29/22, 3250.63, 3251.30, 3200.85, 3213.33
08/26/22, 3278.82, 3297.12, 3273.91, 3278.67
08/25/22, 3222.10, 3278.59, 3220.29, 3272.19
08/24/22, 3243.34, 3248.66, 3216.60, 3223.97
08/23/22, 3259.27, 3260.88, 3224.92, 3249.47
08/22/22, 3279.72, 3284.23, 3267.33, 3274.48
08/19/22, 3322.85, 3324.87, 3285.65, 3289.29
08/18/22, 3336.77, 3339.26, 3315.49, 3324.53
08/17/22, 3345.72, 3369.56, 3336.93, 3339.74
08/16/22, 3360.12, 3363.73, 3332.12, 3336.69
08/15/22, 3343.00, 3375.89, 3343.00, 3362.62
08/12/22, 3305.12, 3343.05, 3300.62, 3335.37
08/11/22, 3271.50, 3314.10, 3271.50, 3305.30
08/10/22, 3252.02, 3280.74, 3226.83, 3277.51
08/09/22, 3276.12, 3276.12, 3248.41, 3255.95
08/08/22, 3258.56, 3286.82, 3255.85, 3283.01
08/05/22, 3272.16, 3291.18, 3256.85, 3260.87
08/04/22, 3252.82, 3276.49, 3252.82, 3273.87
08/03/22, 3233.64, 3255.68, 3226.41, 3236.88
08/02/22, 3297.73, 3299.52, 3255.63, 3257.59
08/01/22, 3271.63, 3311.92, 3257.50, 3310.76
07/29/22, 3281.15, 3288.84, 3248.78, 3264.49
07/28/22, 3255.66, 3276.06, 3255.66, 3272.37
07/27/22, 3230.94, 3244.22, 3223.93, 3235.11
07/26/22, 3229.81, 3246.42, 3225.42, 3242.76
07/25/22, 3228.53, 3235.12, 3212.10, 3223.47
07/22/22, 3230.32, 3253.31, 3218.88, 3246.91
07/21/22, 3217.34, 3229.41, 3205.47, 3223.29
07/20/22, 3188.29, 3242.02, 3188.29, 3229.68
07/19/22, 3180.44, 3183.95, 3159.39, 3179.25
07/18/22, 3138.69, 3176.99, 3136.09, 3175.81
07/15/22, 3136.20, 3142.61, 3115.65, 3132.27
07/14/22, 3138.51, 3162.00, 3128.29, 3133.44
07/13/22, 3146.57, 3168.96, 3144.60, 3156.40
07/12/22, 3168.31, 3170.60, 3135.20, 3147.58
07/11/22, 3215.21, 3229.29, 3166.60, 3171.26
07/08/22, 3202.50, 3228.49, 3190.40, 3201.68
07/07/22, 3152.24, 3196.08, 3143.59, 3192.08
07/06/22, 3176.47, 3180.04, 3138.27, 3144.61
07/05/22, 3182.47, 3206.45, 3175.95, 3179.47
07/04/22, 3180.21, 3203.77, 3150.20, 3173.91
07/01/22, 3218.16, 3219.48, 3158.90, 3163.33
06/30/22, 3239.52, 3242.69, 3203.23, 3212.48
06/29/22, 3280.58, 3280.58, 3242.74, 3246.02
06/28/22, 3271.51, 3298.27, 3257.07, 3288.70
06/27/22, 3223.76, 3292.06, 3223.76, 3275.32
06/24/22, 3180.61, 3219.39, 3172.98, 3214.69
06/23/22, 3169.48, 3188.81, 3161.55, 3183.31
06/22/22, 3221.08, 3230.75, 3167.80, 3176.83
